text,image_caption,surface_message,background_knowledge,A,B,C,D,expert_label
"dispatch, we have a code 1, scared white bitch, over.","It is an image of a police officer, who is African American, talking on a walkie-talkie.","It is an image of a police officer, who is African American, talking on a walkie-talkie. The person in the meme says that dispatch, we have a code 1, scared white bitch, over.","Racial profiling is a controversial law enforcement practice that involves singling out individuals for suspicion or investigation based on their race, ethnicity, national origin, or perceived racial characteristics rather than on evidence of criminal activity or behavior. ""Bitch"" is an insult that means female dog.",The meme is making a joke about racial profiling and using derogatory language to insult white people.,The police officer is using racial profiling to target a white person.,The police officer is being called a racial slur.,"The author stereotypes white people, mainly women, to be a bitch, which also implies they are cowards. This is racist towards white people.",H
really? eating pork is gross but marriage to a minor isn't?.,It is an image of an old Caucasian lady speaking.,It is an image of an old Caucasian lady speaking. The person in the meme says that really? eating pork is gross but marriage to a minor isn't?.,"In some cultures, eating pork is forbidden, and child marriage is allowed. The meme uses a rhetorical question to make a point about child marriage in these cultures.",Child marriage is more acceptable than eating pork.,The author is questioning the cultural acceptance of child marriage in comparison to the disgust for eating pork.,Child marriage is gross.,Child marriage is more unacceptable than eating pork.,N
influence elections? you mean like encouraging illegal immigrants to vote?.,It is an image of 10 alien robots looking alikes in a museum admiring an encased human body.,It is an image of 10 alien robots looking alikes in a museum admiring an encased human body. The author describes the image as influence elections? you mean like encouraging illegal immigrants to vote?.,The understanding of election fraud using illegal immigrants who aren't allowed to vote to create fake votes. ,The meme is suggesting that the aliens are influencing the election by encouraging illegal immigrants to vote.,The image is portraying election fraud as simply encouraging nonvoting people to fakely vote using their name. ,The author is comparing the idea of aliens influencing elections to the concept of encouraging illegal immigrants to vote.,The meme is suggesting that illegal immigrants are being used to influence elections.,H
"everyone knows hitting appliances that stop working, sometimes fixes the problem.",It is an image of a 20-year-old woman with blood on her chin.,"It is an image of a 20-year-old woman with blood on her chin. The author describes the image as everyone knows hitting appliances that stop working, sometimes fixes the problem.",Many people have a controversial opinion and think women should be restricted to and good at household activities such as cooking. People usually try and hit things that are not functioning to make them function properly.,Women should be restricted to household activities and should be good at them.,"The author shows the woman bleeding, implying that she was hit. Since the meme said that an appliance was hit to try and make it start working again, it indicates that the woman was the appliance in this case which is sexist and objectifies the woman.",Women should be restricted to household activities and sometimes hitting things can fix them.,Hitting women can fix problems.,H
"i went to school and nikker cheated, ahh fuck.",It's an image of a classroom full of black students that are taking a test.,"It's an image of a classroom full of black students that are taking a test. The person in the meme says that i went to school and nikker cheated, ahh fuck.",Black people are stereotyped as being intellectually inferior.,The meme is making a racist joke about black students cheating on a test.,The author is implying that black students are not smart and are cheating on their tests.,Black people are dumb and don't learn anything in school.,Black people are intellectually inferior and cheat on tests.,H
how to tell if it's your turn to do laundry 1. look down your pants. 2. do you have a penis? 3. then it's not your turn.,it is a white man sitting on a couch relaxed.,it is a white man sitting on a couch relaxed. The person in the meme says that how to tell if it's your turn to do laundry 1. look down your pants. 2. do you have a penis? 3. then it's not your turn.,1 there is a stereotype that women are expected to do all housework and that that is all they are good for.,the author is trying to convey the idea that men dont ever have to do laundry and that only women should be doing it.,Men are not responsible for their own laundry.,Men are not expected to do laundry.,Men should not do laundry.,H
don't blame me fuel was expensive.,It is an image of Adolf Hitler standing by the ocean.,It is an image of Adolf Hitler standing by the ocean. The person in the meme says that don't blame me fuel was expensive.,"The Holocaust was the systematic, state-sponsored genocide and persecution of approximately six million Jews by Nazi Germany during World War II. People were killed through various methods such as gassing and burning, for which fuel was needed.",Hitler's actions were justified because fuel was expensive.,The meme is joking that the Holocaust happened because fuel was expensive.,Hitler is responsible for the Holocaust.,"The author jokes about how a lot of fuel was needed to kill many people, majority Jews, during the Holocaust and that it would turn out being expensive. This is an inappropriate joke and insulting towards the many who died during the Holocaust.",H
behead atheists kill kill kill! saria law buslims in buslim countries let's have some respect religion of peace brother buslims where they are a minority.,"It is an image of 2 pictures side by side, one of a purple dinosaur and the other of a volcanic eruption.","It is an image of 2 pictures side by side, one of a purple dinosaur and the other of a volcanic eruption. The author describes the image as behead atheists kill kill kill! saria law buslims in buslim countries let's have some respect religion of peace brother buslims where they are a minority.","There is extreme intolerance in different religions, particularly Christianity and Islam. ",The meme is promoting intolerance and violence against atheists and Muslims.,Many people criticize different religions and it is important to be at peace. ,Intolerance and violence are justified in the name of religion.,All Muslims are terrorists and should be killed.,H
there are the apes that i helped to save.,The meme shows a picture of some gorillas and then a picture of former First Lady Michelle Obama. .,The meme shows a picture of some gorillas and then a picture of former First Lady Michelle Obama. . The author describes the image as there are the apes that i helped to save.,"This is a reference to a racist comment about the former First Lady that called her an ""ape in heels,"" and the meme puts forth the idea that Michelle Obama and the gorillas above her belong to the same category. ",Michelle Obama is being compared to gorillas in a derogatory manner.,Michelle Obama is an ape.,"Michelle Obama is being compared to a gorilla, which is a racist and demeaning comment.","Michelle Obama is being compared to apes, which is a racist comment.",H
do you know how to use an oven! or do i need to dig up hitler so he can show you!.,It is an image of a man and a little girl making cupcakes.,It is an image of a man and a little girl making cupcakes. The person in the meme says that do you know how to use an oven! or do i need to dig up hitler so he can show you!.,"Adolf Hitler (1889-1945) was a German political leader who became the dictator of Nazi Germany, leading the country from 1934 to 1945. He is one of the most infamous figures in history due to his role in World War II and the Holocaust, during which millions of people, primarily Jews, were systematically murdered in concentration camps. During the Holocaust, the Nazis used ovens, specifically crematoria, to incinerate the bodies of the millions of victims who were murdered in concentration camps and extermination camps.","The person in the meme is joking about using an oven, but the reference to Hitler and the Holocaust is inappropriate and offensive.",The author makes a joke about how Hitler has to show the chef how to use an oven which is a joke about the holocaust and the horrific way the ovens were used on the Jews' bodies during the Holocaust. Overall this meme is inappropriate and disrespects the many who died during the Holocaust.,"The author is comparing the person they are talking to with Adolf Hitler, suggesting that they are incapable of doing simple tasks like using an oven.","The author is joking about the extreme measures one might need to take to learn how to use an oven, even going so far as to bring back a notorious historical figure like Adolf Hitler.",H
i found the lgbt hq straight pride.,The image is of three firefighters spraying a burning house with hoses to put out the fire.,The image is of three firefighters spraying a burning house with hoses to put out the fire. The person in the meme says that i found the lgbt hq straight pride.,1. Understanding of the term LBGT referring to people who are not cisgender and/or heterosexual. 2. Understanding of the term “pride” usually referring to the LGBT movement. 3. Understanding of the usage of the term “straight pride” to be an ironic counterpoint to LGBT pride. 4. Understanding of the idea of burning down headquarters.,"The meme is suggesting that the LGBTQ+ community's headquarters should be burned down, as a form of ""straight pride.",The meme suggests that the firefighters are metaphorically putting out the fire of LGBT pride by destroying the headquarters of the LGBT movement.,"The meme is making fun of the idea of ""straight pride"" by comparing it to a burning house, suggesting that it's not something to be proud of.",The meme is advocating the destruction of the LGBT movement.,H
am i hearing the american people correctly you want to hand over all your means of protection and make it easier for terrorists to come into the country? gotcha!.,"It is an image of Barack Obama standing in front of a microphone and holding his hand up to his ear, implying that he is listening to the audience.","It is an image of Barack Obama standing in front of a microphone and holding his hand up to his ear, implying that he is listening to the audience. The person in the meme says that am i hearing the american people correctly you want to hand over all your means of protection and make it easier for terrorists to come into the country? gotcha!.","Barack Obama was the President of the United States from 2009 to 2017. After the 9/11 attacks, many strict anti-terrorism measures were enacted to help combat future acts of terrorism in the United States. Some people weren't in agreement with these measures as they decreased personal freedoms such as the right to privacy.","The meme is criticizing Obama's policies on terrorism and immigration, suggesting that they made the country more vulnerable to terrorist attacks.",The author is suggesting that Barack Obama's policies made it easier for terrorists to enter the country by weakening security measures.,"The American people don't agree with strict anti-terrorism measures, so this can be seen as them inviting terrorism in their country.",The meme is suggesting that Barack Obama was not listening to the American people's concerns about national security and terrorism.,N
the great train robbers.,10 men standing in front of a building.,10 men standing in front of a building. The author describes the image as the great train robbers.,Knowledge of the Great Train Robbers and their infamous heist.,An image of all the robbers in the Great Train Robbers,The men in the image are the Great Train Robbers.,"The meme is comparing the men in the image to the Great Train Robbers, suggesting they are involved in some sort of criminal activity.","The image is a reference to the Great Train Robbers, a group of criminals who stole a large sum of money from a train in the UK.",N
"they are the best in basketball because they can steal, shoot and run.",An image of many people in the crowd watching the stage while a man wearing a red dinosaur outfit and a Raptors basketball jersey is performing.,"An image of many people in the crowd watching the stage while a man wearing a red dinosaur outfit and a Raptors basketball jersey is performing. The author describes the image as they are the best in basketball because they can steal, shoot and run.","1. Understanding of basic basketball terminology and the physical actions required to succeed. 2. Understanding of racist stereotypes about African Americans regarding their tendency for criminality. 3. Understanding that the best basketball players often tend to be African American. 4. Understanding of the double meaning created by the words “steal, shoot, and run” to refer to both criminal activities and basketball skills.","The best basketball players are African Americans who can steal, shoot, and run.","The best basketball players are African Americans who steal, shoot, and run.",The meme is perpetuating racist stereotypes about African Americans and their abilities in basketball.,The creator of the meme is making a racist joke suggesting that black people are better at basketball for the same reasons that they commit more crimes.,H
"dear single girls, please stop saying you should give up and get a cat. if no man wants you, please don't force an innocent cat to live with you","In the image, a black and grey kitten looks into the camera with its two front paws perched atop a wire fence.","In the image, a black and grey kitten looks into the camera with its two front paws perched atop a wire fence. The author says, ""dear single girls, please stop saying you should give up and get a cat. if no man wants you, please don't force an innocent cat to live with you.""",,The meme is making fun of single women for not having partners.,Forgetting to put the trash out on time means that the garbage truck won't come back to pick it up until the next day.,Single women who can't find a partner should not get a cat.,Single women should not get cats as a substitute for human companionship.,H
"are my sins forgiven now, father.",Ir is an image of a man in what appears to be a Jewish prayer shawl speaking to a young boy in robes.,"Ir is an image of a man in what appears to be a Jewish prayer shawl speaking to a young boy in robes. The person in the meme says that are my sins forgiven now, father.",,The individuals are expressing religious devotion.,The meme is suggesting that the man in the image is a priest or a religious figure who has the power to forgive sins.,Forgetting to put the trash out on time means that the garbage truck won't come back to pick it up until the next day.,The meme is making fun of religious figures and their followers.,N
enough with the nazi jokes.. they make me f‚àö¬∫hrerious.,It is an image of Adolf Hitler sitting at a table.,It is an image of Adolf Hitler sitting at a table. The person in the meme says that enough with the nazi jokes.. they make me f‚àö¬∫hrerious.,Adolf Hitler was the Fuhrer of Nazi Germany during World War II. Fuhrerious is a combination of the words Fuhrer and furious.,The author is tired of hearing Nazi jokes.,The meme is making fun of Adolf Hitler and the Nazi regime.,The meme is making fun of Nazi jokes.,The author is saying that they are serious about not wanting to hear any more Nazi jokes.,H
dad?!? the dishwasher and the sandwichmaker are on the fritz again.,"It is an image of two women kissing, one is black and one is white.","It is an image of two women kissing, one is black and one is white. The author describes the image as dad?!? the dishwasher and the sandwichmaker are on the fritz again.",1 often women are wrongly seen as objects to serve men or do housework. ,Women should be in the kitchen and not kissing.,The women are not objects to serve men or do housework.,"the author is trying to convey the message that women are no good for anyting other than housework by calling them ""dishwasher"" and ""sandwhichmaker""",Women are only good for housework and serving men.,H
"""so i'm expected to walk on eggshells in my own country just so i don't offend some 7th century islamic goat humpers who ain't figured out yet this is the 21st century???"" ""what the hell kinda meat headed bullshittery do you call that?!??"".", It is an image of a Caucasian man with a beard and mustache making a face.," It is an image of a Caucasian man with a beard and mustache making a face. The person in the meme says that ""so i'm expected to walk on eggshells in my own country just so i don't offend some 7th century islamic goat humpers who ain't figured out yet this is the 21st century???"" ""what the hell kinda meat headed bullshittery do you call that?!??"".",Islam is a religion that is heavily discriminated against and Muslims that follow it are sometimes stereotyped of sexually interacting with goats and are called goat humpers.,Muslims are backward and should not be respected.,"The author is expressing frustration and anger towards people who are offended by their actions and beliefs, and is using derogatory language to demean Muslims.",Muslims are backward and should not be respected in the modern world.,It is calling Muslims 7th century islamic goat humpers which is insulting towards Muslims and people that follow Islam as well as discriminating against Muslims.,H
"ernie exclaims loudly ""allƒÅhu akbar!"" as bert banks towards the city's airspace.",t is an image of 3 sesame street characters standing next to each other.,"t is an image of 3 sesame street characters standing next to each other. The author describes the image as ernie exclaims loudly ""allƒÅhu akbar!"" as bert banks towards the city's airspace.","Ernie and Bert are two beloved Muppet characters from the long-running children's television show ""Sesame Street"" who are very close to one another. ""Allahu Akbar"" is an Arabic phrase that translates to ""God is the greatest"" or ""God is great"" in English. ",Ernie is excited about something related to Bert and the city's airspace.,"The author tries to relate sesame street characters with religious Muslim phrases, which can potentially be offensive.","The meme is making a joke about Ernie, a Sesame Street character, shouting an Arabic phrase often associated with terrorism, while Bert, another character, moves towards the city's airspace.",Even innocent children's characters can be associated with terrorism.,H
oh look he already has an arrest warrant.,"It is an image of a police officer, who is a white man, sitting in a car looking at a laptop.","It is an image of a police officer, who is a white man, sitting in a car looking at a laptop. The person in the meme says that oh look he already has an arrest warrant.","An arrest warrant is a legal document attesting the intention of the police department to arrest a particular person and charge them for a particular crime. Police officers often use their laptops in order to access the police database while assessing individuals that they have pulled over or apprehended, and this database would contain any arrest warrants out for a particular individual.",The police officer is about to arrest someone.,The meme is suggesting that the police officer is targeting the person in the meme because of their race.,This cop has pulled over a person and now found out that the police has already been looking to arrest them.,The author is suggesting that the police officer is looking for a reason to arrest the person in the image.,N
disgusting if u have ever dated a nigger and ur white kill yourself once you go black you'll be a single mom for the rest of your life disgusting.,It is an image of an African American boy hugging her Caucasian mom.,It is an image of an African American boy hugging her Caucasian mom. The author describes the image as disgusting if u have ever dated a nigger and ur white kill yourself once you go black you'll be a single mom for the rest of your life disgusting.,"""Nigger"" is an insulting term for black people. Many people often discriminate against black people which is racist.",Black people should not date white people.,Interracial relationships are disgusting and lead to single parenthood.,The author is trying to say that people will never date a black person and that they are disgusting. This is racist against black people.,The author is promoting racism and discrimination.,H
got crap for brains??? make sure you wear your diaper,"It is an image of Ilhan Omar, a Muslim woman in the U.S. House of Representatives, giving a speech.","It is an image of Ilhan Omar, a Muslim woman in the U.S. House of Representatives, giving a speech. The author says ""got crap for brains??? make sure you wear your diaper""",The hijab is a religious headscarf that some Muslim women wear. ,The meme mocks Islamic culture by called the hijab a diaper.,The author is insulting Ilhan Omar's intelligence and suggesting that she should wear a diaper because she is not smart.,The meme is making fun of Ilhan Omar's intelligence and her wearing a hijab.,"The author is criticizing Ilhan Omar's intelligence and suggesting that she should wear a diaper because she has ""crap for brains.",H
covers up the sexual abuse of student athletes for a decade at ohio state questions someone else's credibility., Ohio Congressman Jim Jordan is saying something in a microphone., Ohio Congressman Jim Jordan is saying something in a microphone. The person in the meme says that covers up the sexual abuse of student athletes for a decade at ohio state questions someone else's credibility.,1. Understanding of the concept of hypocrisy. 2. Knowledge of the Ohio State sexual abuse scandal involving student athletes.,The author is making fun of Ohio Congressman Jim Jordan for hypocrisy.,The author is accusing Jim Jordan of being a hypocrite for questioning someone else's credibility when he himself was involved in covering up sexual abuse at Ohio State.,Jim Jordan is a hypocrite for questioning someone else's credibility when he himself covered up sexual abuse at Ohio State.,The meme is accusing Jim Jordan of hypocrisy for questioning someone else's credibility while he himself covered up sexual abuse at Ohio State.,N
"feeling cute might fuck a tranny later, idk.", It is an image of 2 men with colorful makeup on their faces.," It is an image of 2 men with colorful makeup on their faces. The person in the meme says that feeling cute might fuck a tranny later, idk.","""Tranny"" is a derogatory term for transgender people.","The people in the image are transgender and say they might fuck another transgender person later using the term ""tranny."" ""Tranny"" is a derogatory term and is offensive towards the transgender community.",Transgender people are not to be taken seriously.,The author is making a derogatory joke about transgender people.,Transgender people are not real and are just for fun.,H
dishwasher is broken? slap her a few times.,It is an image of a man with glasses sitting in the driver's seat of a car.,It is an image of a man with glasses sitting in the driver's seat of a car. The person in the meme says that dishwasher is broken? slap her a few times.," Sexism refers to prejudice, discrimination, or bias based on a person's sex or gender, typically against women but also affecting individuals of any gender. Many sexist people think women should be good at and/or restricted to household activities such as cleaning the dishes.  A common thing to do when something is not functioning properly is to hit it a few times to make it work again.","Women should be good at household activities and if they don't do them well, they should be punished.",Women should be restricted to household activities and should be treated violently if they don't perform their duties well.,"Women should be good at household activities and if something is broken, they should be hit to make it work again.","The author is being sexist and calling a woman a dishwasher which is also objectifying them and being sexist. This meme also promotes violence again woman by saying that if you hit them they will start working again, which is inappropriate.",H
"""never forget"" -you said.. i am the proof you have forgotten.",It is an image of a white man and woman sitting on a couch with the woman covering her face.,"It is an image of a white man and woman sitting on a couch with the woman covering her face. The author describes the image as ""never forget"" -you said.. i am the proof you have forgotten.",Knowledge of couple's therapy and its purpose to recover relationships.,The meme is making fun of couple's therapy and suggesting that the woman has been forgotten.,The woman is hiding her face because she feels ashamed or embarrassed about something that happened in the relationship.,The couple in the meme is struggling to remember the reasons they fell in love.,The unrest between the couple is the proof the audience has forgotten.,N
back in my day blowing a tranny meant car trouble.,It is an image of a man standing next to a yellow car with its hood open while there is smoke coming out of it.,It is an image of a man standing next to a yellow car with its hood open while there is smoke coming out of it. The person in the meme says that back in my day blowing a tranny meant car trouble.,"When saying blowing a tranny, it means to have sexual intercourse with a transgender person. ","In the past, having car trouble was a common issue.",The generations have changed and everything is different. ,"The author is making a joke about how the term ""blowing a tranny"" has changed meaning over time.",Transgender people are not real people and it's funny to make jokes about them.,H
"""we're his kids and he hasn't returned. yeah this makes sense"".",The image is a black and white clipart depiction of Jesus as a black person.,"The image is a black and white clipart depiction of Jesus as a black person. The author describes the image as ""we're his kids and he hasn't returned. yeah this makes sense"".","In the Christian religion, Jesus is seen as a father-like person and Jesus has promised to return to Earth in the future. There is a stereotype that black fathers abandon their families. ",It is common for black fathers to abandon their families. ,"Jesus, as a black person, is an absent father.","The meme is making fun of the idea that Jesus is a black person who has abandoned his ""children"" on Earth.",The meme is mocking the Christian belief in Jesus's return by comparing it to a black father who has abandoned his family.,H
black on black.,It is an image of 2 monkeys walking on a bog in the woods. .,It is an image of 2 monkeys walking on a bog in the woods. . The author describes the image as black on black.,"The phrase black on black usually means design or color scheme, nothing racist. ",Everyone is unique in their own way and it is important to showcase it instead of discriminating African Americans for their skin being a darker shade. ,The image is about two black monkeys.,The meme is making fun of black people.,The author is making a racist joke by comparing black people to monkeys.,H
rev up those gas chambers.,It is a drawing of a monster fish with sharp teeth.,It is a drawing of a monster fish with sharp teeth. The author describes the image as rev up those gas chambers.,Gas chambers were used to kill millions of Jews during the Holocaust.,The author pretends to be referring to gas in a car but the hidden meaning of gas chambers is the Holocaust gas chambers.,It is shocking for the author to imply that he is going to commit genocide.,The meme is making fun of the Holocaust.,The author is making a tasteless joke about the Holocaust.,H
good asian '' '',The picture shows an Asian man in combat fatigues with an Asian boy hugging the man's neck from behind. ,"The author of the meme is presumably calling the man and his kid a ""good asian.""","The child, who is most likely the son of the man, is a good person because he is keeping up with the lifestyle and instability that comes with being a military child. The man is a good person because he is serving the country. However, it is offensive to label them both as simply ""Asians.""",The author is making a stereotypical assumption about the man and his child based on their ethnicity.,The meme is making fun of Asian people.,Asian people are nothing more than their ethnicity. ,The author is making a stereotypical assumption that all Asians are good because of their perceived hard work and dedication.,H
good things come to those who wait,"The picture shows a kid, who is standing between a window and the blinds, gazing outside. ",The girl is waiting for something to arrive. ,"The phrase ""good things come to those who wait"" emphasizes the importance of patience and long-term rewards as opposed to short-term gratification. The girl in the meme is waiting patiently, so perhaps something good will happen to her. ",NaN. ,The girl is waiting for something good to happen to her.,The meme is suggesting that patience and waiting can lead to good things happening.,Patience is a virtue.,N
"2011 gt3 rs with a rebuilt tranny $157,876.",It is an image of a transgender woman standing next to a purple Porsche 911 GT3 RS.,"It is an image of a transgender woman standing next to a purple Porsche 911 GT3 RS. The author describes the image as 2011 gt3 rs with a rebuilt tranny $157,876.",Tranny is a derogatory term for transgender people. People can have plastic surgery to look different.,"The author displays a transgender woman next to a 2011 gt3 rs and labels the car as 157,876. The transgender woman is said to be a rebuilt tranny. Rebuilt implies the person remodeled their look through methods like plastic surgery and tranny is insulting. Overall this meme is slightly discriminating against transgender people.",Transgender people are not real and can be made fun of.,Transgender people are not real and can be mocked.,Transgender people are not real.,H
"yeah, we know ""no president has done what i have done.""","The first image is of Robert Mueller in a suit in front of a black background. The second image is of former president Donald Trump giving a speech outside in Washington, D.C.","The first image is of Robert Mueller in a suit in front of a black background. The second image is of former president Donald Trump giving a speech outside in Washington, D.C. Donald Trump says that ""no president has done what i have done."" Robert Mueller says that ""yeah, we know"".","During Donald Trump's presidency, Robert Mueller was a special counsel in the investigation of Trump's ties with Russia.","Robert Mueller is sarcastically agreeing with Trump's statement, implying that Trump has done many things that no other president has done, but not necessarily good things.","The meme is suggesting that Robert Mueller is aware of the accomplishments of Donald Trump, and that Trump's actions are significant.","The meme is making fun of Donald Trump's claim that he has done more than any other president, while also acknowledging the ongoing investigation into his actions.",Robert Mueller knows that Donald Trump committed crimes with Russia.,N
dark humor is like good food not everyone deserve it ;.,It is an image of a small african child who looks malourished sitting in a green bucket.,It is an image of a small african child who looks malourished sitting in a green bucket. The person in the meme says that dark humor is like good food not everyone deserve it ;.,1 dark humor is often controversial and for this reason some say that many dont deserve it. 2 in africa food can often be scarce and there not much food around.,Dark humor is a privilege not everyone deserves.,"The author is implying that some poeple dont deserve good food and deserve to starve instead, just as some people dont deserve dark humor.",Only certain people can understand dark humor.,Only certain people can appreciate dark humor.,H
black people anything thoat doesn't belong to them.,It is an image of a serious woman about to hold a bowl.,It is an image of a serious woman about to hold a bowl. The author describes the image as black people anything thoat doesn't belong to them.,,Black people are thieves.,Black people steal things.,Black people steal possessions that don't belong. ,Black people are greedy and take things that don't belong to them.,H
poor children of every color picked cotton open a book and gain some knowledge.,It is a black-and-white image of smiling women holding cotton.,It is a black-and-white image of smiling women holding cotton. The author describes the image as poor children of every color picked cotton open a book and gain some knowledge.,"Picking cotton was a common job of slaves, who were black in the united states.",The meme is suggesting that education is a way to escape poverty and hard labor.,The author is saying that poor children of every color should be educated and not have to work like slaves.,Education is the key to breaking the cycle of poverty and racism.,Black people were not particularly affected by slavery.,N
"""life is like a box of chocolates."" it sucks if you have diabetes.",It is an image of Tom Hanks looking at the camera.,"It is an image of Tom Hanks looking at the camera. The person in the meme says that ""life is like a box of chocolates."" it sucks if you have diabetes.","""life is like a box of chocolates"" is a quote from Forrest Gump, in which Tom Hanks plays the titular protagonist. Diabetes is a medical condition related to sugar in a person's body, and this can affect their diet when it comes to sugary foods like chocolate.","Life is full of surprises, but it can be difficult if you have diabetes.",Diabetics cannot eat chocolate.,"Life can be unpredictable and challenging, especially for those with diabetes.","Life is full of surprises, but if you have diabetes, it can be a struggle to enjoy the sweet things in life.",N
black boyfriend white boyfriend.,"It is an image of 2 pictures, one of a women with a bruised face and the other woman is smiling with her hands on her face. .","It is an image of 2 pictures, one of a women with a bruised face and the other woman is smiling with her hands on her face. . The author describes the image as black boyfriend white boyfriend.",There are many interracial relationships and domestic violence is huge in relationships. ,Interracial relationships are violent.,Black boyfriends are more likely to be abusive.,Black boyfriends are abusive.,Male black partners are abusive and use violence to get their way. ,H
that job interview was going so well. until i realized i was fucked up on acid in the middle of a cornfield naked and talking to a scarecrow. fucked up memes funny messed up pictures.,It is an image of a man with glasses smiling widely at the camera with wide eyes.,It is an image of a man with glasses smiling widely at the camera with wide eyes. The author describes the image as that job interview was going so well. until i realized i was fucked up on acid in the middle of a cornfield naked and talking to a scarecrow. fucked up memes funny messed up pictures.,1. Acid refers to a type of drug with hallucinogenic effects. 2. Someone who ingested acid might hallucinate the situation described in the meme.,The author is saying that the man in the picture is having a bad trip and is hallucinating.,The person in the meme had a bizarre and unfortunate experience during a job interview.,Acid causes hallucinations.,The meme is making fun of someone who took acid and had a bad trip.,N
when you do a fat rail but you still feel down.,"In the image, a woman is looking into the camera and frowning. She is holding a small paper tube in one hand and a plate with two lines of cocaine in the other.","In the image, a woman is looking into the camera and frowning. She is holding a small paper tube in one hand and a plate with two lines of cocaine in the other. The author describes the image as when you do a fat rail but you still feel down.",The term 'rail' used here is slang for snorting a line of cocaine.,"The meme is suggesting that even after using cocaine, the woman still feels down or unhappy.","Even after doing a line of cocaine, the woman still feels down.","When you do drugs to become happy, but you still feel sad afterwards.",Doing drugs doesn't always make you feel better.,N
burning things that don't mean anything to you,The meme shows what appears to be three body-sized ovens.,The ovens are used for burning things that don't mean anything to someone.,"The ovens pictured are eerily similar to the ones used in the Holocaust to cremate dead Jews. Thus, the Jews are the ""things that don't mean anything to you"" referenced in the meme. This is highly insensitive because Jews are people and their lives are just as valuable as anyone else's.","The meme is making a tasteless joke about the Holocaust by suggesting that Jews are ""things that don't mean anything to you"" and should be burned.",The meme is trivializing the Holocaust and the lives of Jewish people.,The lives of Jewish people are not important.,Jews don't mean anything.,H
does anyone know where i can get a rag? there's 49 of them on the floor in a mosque.,The image shows a pregnant woman with her hand up to her face.,The image shows a pregnant woman with her hand up to her face. The person in the meme says that does anyone know where i can get a rag? there's 49 of them on the floor in a mosque.,"A mosque is a place of worship and a central religious institution in Islam. It serves as a gathering place for Muslims to engage in communal prayer, worship, and various other religious and community activities",Muslims are dirty and disrespectful.,The author calls Muslims rags since Muslims are the ones who pray at Mosques. This is racist and discriminates against Muslims.,Muslims are dirty and use rags.,The author is looking for a rag to clean up 49 rags on the floor of a mosque.,H
what's the difference between the 2? the first one can't sing when you put chains on it.,It is two images: one of a bicycle and the other of two African Americans. .,It is two images: one of a bicycle and the other of two African Americans. . The person in the meme says that what's the difference between the 2? the first one can't sing when you put chains on it.,African Americans in slavery sang various spirituals.,The meme is making a racist joke about African Americans and their singing abilities.,African Americans are like bicycles that can't sing when chains are put on them.,African Americans are like bicycles because they can't sing when chains are put on them.,African Americans sing when you put chains on them. ,H
d.j. osama spin laden droppin' beats like the twin towers.,it is a image of british indian celebrity known as jameela jamil and she is infront of a dj setup.,it is a image of british indian celebrity known as jameela jamil and she is infront of a dj setup. The author describes the image as d.j. osama spin laden droppin' beats like the twin towers.,1 osama bin laden was a terrorist who orchestrated the 9/11 attacks. 2 the 9/11 attacks were terrorist attacks that collapsed the twin towers in new york.,Jameela Jamil is a terrorist.,The author is making a tasteless joke about 9/11 and Osama bin Laden.,The author is saying that the DJ is powerful and drops beats like the twin towers which implies they have a massive effect.,The meme is making a joke about the 9/11 attacks and terrorism.,H
back in my day blowin a tranny was car trouble.,It is an image of a black and white picture of a man with a mustache sitting on a wooden stool. .,It is an image of a black and white picture of a man with a mustache sitting on a wooden stool. . The person in the meme says that back in my day blowin a tranny was car trouble.,"When saying blowing a tranny, it means to have sexual intercourse with a transgender person. ",The generation changed and everything is so different ,"In the past, having sex with a transgender person was considered a problem.",It is offensive to have sexual intercourse with a transgender person.,Transgender people are not respected.,H
imagine if you will a group of people so disgusting.. ...they have to make laws making it illegal to hate them,It is an image of a man in a tuxedo. He is grabbing his suit jacket and looking into the camera.,"It is an image of a man in a tuxedo. He is grabbing his suit jacket and looking into the camera. The author says, ""imagine if you will a group of people so disgusting...they have to make laws making it illegal to hate them.""",There are several laws against hate speech and hate crimes against minorities.,The author is saying that people who have to make laws against hate are disgusting.,The meme is suggesting that certain groups of people are so unlikable that they need laws to protect them from hate.,The author believes that certain groups of people are so disgusting that they need laws to protect them from hate.,Minorities receive hat because they are disgusting groups.,H
how do you circumcise a trump voter? kick his sister in the jaw.,"It is an image of a man looking dirty sitting on a couch in his underwear next to a woman smoking a cigarette, they are both white.","It is an image of a man looking dirty sitting on a couch in his underwear next to a woman smoking a cigarette, they are both white. The author describes the image as how do you circumcise a trump voter? kick his sister in the jaw.",1 a circumcision is the act of cutting off the foreskin from the tip of the penis. 2 the only way for to get a circumcision by kicking someone in the mouth is if the penis is in their mouth.,Trump voters are dirty and deserve to be hurt.,The only way to circumcise a Trump voter is to kick his sister in the jaw.,The meme is joking that the only way to circumcise a Trump voter is by having their sister perform oral sex on them.,"the author is trying to say that trump voters are having sex with their sisters and so to circumcise them you need to make the sisters mouth close while the penis is still in it, hence saying that trump supports like incest.",H
